identifier,title,status,priority,labels,assignee,createdAt,completedAt
MER-17,"User Story—Define the ""Slice"" Data Model",Done,,Feature; User Story,Mert Ertuğrul,2026-02-16T19:08:40.462Z,2026-02-22T13:07:23.788Z
MER-18,PostgreSQL Table `slices` created.,Done,,Task,Mert Ertuğrul,2026-02-16T19:08:57.012Z,2026-02-22T12:21:27.891Z
MER-19,Java Entity created using Record types (if suitable) or Data classes.,Done,,Task,Mert Ertuğrul,2026-02-16T19:12:32.533Z,2026-02-22T12:54:50.493Z
MER-20,Unit test verifying a Slice can be saved and retrieved via a Repository .,Done,,Task,Mert Ertuğrul,2026-02-16T19:12:54.645Z,2026-02-22T12:54:53.309Z
MER-21,User Story - Create 24h Visual Canvas,Done,"{'value': 1, 'name': 'Urgent'}",Feature (Frontent); User Story,Mert Ertuğrul,2026-02-16T19:20:22.589Z,2026-02-24T15:03:24.457Z
MER-22,UI renders a circle representing 24 hours (00:00 to 23:59).,Done,,Task,Mert Ertuğrul,2026-02-16T19:21:39.090Z,2026-02-24T15:03:24.883Z
MER-23,Select Flutter radial rendering approach (CustomPainter vs package),Done,,Task,Mert Ertuğrul,2026-02-16T19:21:53.828Z,2026-02-24T15:03:24.819Z
MER-24,The chart is responsive (resizes correctly on Mobile vs. Desktop).,Done,,Task,Mert Ertuğrul,2026-02-16T19:22:03.459Z,2026-02-24T15:03:24.847Z
MER-25,"Visual markers placed at key intervals (e.g., 00:00, 06:00, 12:00, 18:00).",Done,,Task,Mert Ertuğrul,2026-02-16T19:22:14.324Z,2026-02-24T15:03:24.912Z
MER-26,User Story - Drag-to-Create (Touch/Mouse Interaction),Done,"{'value': 2, 'name': 'High'}",User Story; Feature (Frontent),Mert Ertuğrul,2026-02-16T19:31:56.213Z,2026-02-24T18:49:24.826Z
MER-27,Constraint: Must work on touch devices (Mobile view).,Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-16T19:32:18.149Z,2026-02-24T18:49:25.144Z
MER-28,"Releasing the click/touch opens the ""Edit Slice"" modal with times pre-filled.",Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-16T19:32:28.002Z,2026-02-24T18:49:25.238Z
MER-29,Dragging defines the duration ( `end_time` ).,Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-16T19:32:44.520Z,2026-02-24T18:49:25.264Z
MER-30,User can click a point on the chart to define `start_time` .,Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-16T19:32:52.941Z,2026-02-24T18:49:25.200Z
MER-31,User Story—Open Api For The BE project,Done,,User Story; Feature,Mert Ertuğrul,2026-02-20T20:10:39.032Z,2026-02-21T10:36:11.189Z
MER-32,User Story - Implement API-First Authentication Flow,Canceled,,Feature; User Story,Mert Ertuğrul,2026-02-21T14:03:15.706Z,
MER-33,User Story—Implement Mock User ID for MVP Data Persistence,Done,"{'value': 2, 'name': 'High'}",User Story; Feature,Mert Ertuğrul,2026-02-21T14:33:03.948Z,2026-02-26T13:17:42.360Z
MER-34,Define mock user identity contract,Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-21T14:33:03.948Z,2026-02-25T12:23:01.516Z
MER-35,Add backend mock-auth gate in security config,Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-21T14:33:03.948Z,2026-02-26T07:12:53.179Z
MER-36,Inject mock userId in backend slice flow,Done,"{'value': 2, 'name': 'High'}",Task,,2026-02-21T14:33:03.948Z,2026-02-26T07:25:08.925Z
MER-37,Configure frontend API client for mock identity header,Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-21T14:33:03.948Z,2026-02-26T12:46:48.519Z
MER-38,Implement FlyWay to the project,Done,,Task,Mert Ertuğrul,2026-02-22T11:41:11.123Z,2026-02-22T12:21:23.329Z
MER-39,User Story - FE Flutter Front-End Initialization & IntelliJ Environment Setup,Done,,Feature (Frontent); User Story,Mert Ertuğrul,2026-02-22T13:17:59.394Z,2026-02-24T07:29:23.694Z
MER-40,Scaffold Flutter Client,Done,,,Mert Ertuğrul,2026-02-22T13:17:59.394Z,2026-02-24T07:29:23.895Z
MER-41,Configure IntelliJ IDEA Ultimate for Flutter,Done,,,Mert Ertuğrul,2026-02-22T13:17:59.394Z,2026-02-24T07:29:23.921Z
MER-42,Networking & Environment Configuration,Done,,,Mert Ertuğrul,2026-02-22T13:17:59.394Z,2026-02-24T07:29:23.943Z
MER-43,Establish Core Folder Structure,Done,,,Mert Ertuğrul,2026-02-22T13:17:59.394Z,2026-02-24T07:29:23.970Z
MER-44,User Story - MVP Cloud Deployment on Google Cloud,Done,"{'value': 3, 'name': 'Medium'}",User Story; Feature,Mert Ertuğrul,2026-02-24T08:30:11.022Z,2026-02-28T14:00:39.753Z
MER-45,Decide MVP hosting architecture on GCP,Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-24T08:30:39.161Z,2026-02-27T17:34:24.589Z
MER-46,"Set up GCP project, billing, and budget alerts",Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-24T08:30:42.313Z,2026-02-27T17:56:41.585Z
MER-47,Deploy backend service to Cloud Run,Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-24T08:30:43.938Z,2026-02-27T14:11:08.123Z
MER-48,Provision managed PostgreSQL and automated backups,Done,"{'value': 2, 'name': 'High'}",Task,Mert Ertuğrul,2026-02-24T08:30:45.659Z,2026-02-26T17:02:57.141Z
MER-49,Configure custom domain and HTTPS,Done,"{'value': 3, 'name': 'Medium'}",Task,Mert Ertuğrul,2026-02-24T08:30:47.454Z,2026-02-28T14:00:10.226Z
MER-50,Set up CI/CD for main branch deployment,Done,"{'value': 3, 'name': 'Medium'}",Task,Mert Ertuğrul,2026-02-24T08:30:49.308Z,2026-02-27T18:58:10.191Z
MER-51,"Configure monitoring, logging, and error alerts",Done,"{'value': 3, 'name': 'Medium'}",Task,Mert Ertuğrul,2026-02-24T08:30:51.022Z,2026-02-27T19:33:09.745Z
MER-52,(Optional) Create staging environment and deployment path,Done,"{'value': 4, 'name': 'Low'}",Task,Mert Ertuğrul,2026-02-24T08:30:53.519Z,2026-02-27T19:01:14.570Z
MER-53,M2-01 Align FE/BE identity contract for protected APIs,Done,"{'value': 2, 'name': 'High'}",User Story; Feature,Mert Ertuğrul,2026-03-02T08:28:23.034Z,2026-03-02T11:25:36.605Z
MER-54,M2-02 Implement Slice CRUD API in BE (OpenAPI + controller/service),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-02T08:28:30.569Z,2026-03-02T15:28:11.978Z
MER-55,M2-03 Implement FE day plan repository backed by BE slices API,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-02T08:28:38.793Z,2026-03-03T07:28:55.082Z
MER-56,M2-04 Add BE focus_sessions schema and persistence model,Done,"{'value': 1, 'name': 'Urgent'}",Feature,Mert Ertuğrul,2026-03-02T08:28:55.788Z,2026-03-03T11:55:43.915Z
MER-57,M2-05 Implement BE Pomodoro state machine module,Done,"{'value': 1, 'name': 'Urgent'}",Feature,Mert Ertuğrul,2026-03-02T08:28:57.782Z,2026-03-03T18:24:32.625Z
MER-58,M2-06 Implement BE Focus Session API linked to sliceId,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-02T08:29:00.242Z,2026-03-04T08:32:33.091Z
MER-59,M2-07 Enforce BE slice-linked session guardrails,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-02T08:29:02.057Z,2026-03-02T15:04:40.792Z
MER-60,M2-08 Build FE timer panel UI for focus session control,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-02T08:29:21.275Z,2026-03-04T19:47:06.493Z
MER-61,M2-09 Implement FE session sync model using server time,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-02T08:29:24.580Z,2026-03-05T07:51:31.627Z
MER-62,M2-10 Add FE action to start focus from selected slice,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-02T08:29:26.414Z,2026-03-05T12:53:52.728Z
MER-63,M2-11 Implement slice-end behavior and in-app transition notice,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-02T08:29:28.747Z,2026-03-05T18:07:16.044Z
MER-64,"M2-12 Milestone quality gate: tests, reliability checks, and docs update",Done,"{'value': 4, 'name': 'Low'}",User Story,Mert Ertuğrul,2026-03-02T08:29:37.314Z,2026-03-05T19:19:51.981Z
MER-65,MER-53.1 Contract-First API Update (OpenAPI Security Scheme),Done,,,Mert Ertuğrul,2026-03-02T09:08:16.375Z,2026-03-02T09:38:03.885Z
MER-66,MER-53.2 Harden Security Configuration (Secure by Default),Done,,,Mert Ertuğrul,2026-03-02T09:08:17.934Z,2026-03-02T10:08:19.337Z
MER-67,MER-53.3 Refactor Authentication Filter to New Identity Source,Done,,,Mert Ertuğrul,2026-03-02T09:08:19.609Z,2026-03-02T11:12:45.145Z
MER-68,MER-53.4 Align User Identity Resolution in Service Layer,Done,,,Mert Ertuğrul,2026-03-02T09:08:21.209Z,2026-03-02T11:25:37.105Z
MER-69,MER-53.5 Update Verification Suite for New Identity Contract,Done,,,Mert Ertuğrul,2026-03-02T09:08:22.715Z,2026-03-02T11:25:37.083Z
MER-70,"M2-02a Define slice OpenAPI contract (models, validation, errors, security)",Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-02T11:59:09.660Z,2026-03-02T15:28:13.724Z
MER-71,M2-02b Define `/api/slices` endpoints and explicit update semantics,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-02T11:59:11.477Z,2026-03-02T15:28:13.863Z
MER-72,M2-02c Generate API interfaces/models from updated OpenAPI spec,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-02T11:59:13.105Z,2026-03-02T15:28:13.835Z
MER-73,M2-02d Implement SliceService with strict user-scoped repository access,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-02T11:59:15.080Z,2026-03-02T15:28:13.774Z
MER-74,M2-02e Implement SliceController and global exception mapping,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-02T11:59:16.873Z,2026-03-02T15:28:13.891Z
MER-75,M2-02f Verify slice API with unit + component tests (including negative/auth cases),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-02T11:59:18.551Z,2026-03-02T15:28:13.804Z
MER-76,M2-03a Define domain SliceRepository contract,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-02T15:35:00.797Z,2026-03-02T18:18:30.038Z
MER-77,M2-03b Add DaySlice API mapping (DTO/serialization),Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-02T15:35:08.476Z,2026-03-02T18:18:30.090Z
MER-78,M2-03c Implement HTTP SliceRepository using ApiClient,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-02T15:35:15.978Z,2026-03-02T18:18:30.060Z
MER-79,M2-03d Wire SliceRepository via dependency injection,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-02T15:35:24.827Z,2026-03-02T18:18:29.940Z
MER-80,M2-03e Integrate repository-backed state into Home page,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-02T15:35:31.941Z,2026-03-02T18:18:30.016Z
MER-81,M2-03f Add verification tests for HTTP SliceRepository,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-02T15:35:40.948Z,2026-03-02T18:18:29.977Z
MER-82,M2-13 Add slice add/remove UX via right-click (desktop) and long-press (mobile),Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-03T06:59:16.235Z,2026-03-04T13:05:40.111Z
MER-83,M2-14 Replace canvas title with selected date and add day-to-day navigation,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-03T07:12:20.637Z,2026-03-04T18:03:53.181Z
MER-84,M2-14a Add BE/API support for date-scoped slice retrieval,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-03T07:15:23.704Z,2026-03-04T17:18:59.772Z
MER-85,M2-14b FE selected-date header and previous/next day navigation,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-03T07:15:34.380Z,2026-03-04T17:01:25.403Z
MER-86,Fix slice-create persistence: avoid unintended saving of unplanned remainder,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-03T07:19:54.017Z,2026-03-04T12:15:25.267Z
MER-87,M2-04a Add DB-level guardrail for single RUNNING focus session per user,Done,,,Mert Ertuğrul,2026-03-03T07:59:46.244Z,2026-03-03T10:53:05.981Z
MER-88,M2-04b Standardize persistence auditing for created_at consistency,Done,,,Mert Ertuğrul,2026-03-03T07:59:47.763Z,2026-03-03T10:53:06.023Z
MER-89,M2-04c Extend focus_sessions schema for Pomodoro lifecycle state persistence,Done,,,Mert Ertuğrul,2026-03-03T07:59:49.190Z,2026-03-03T10:53:05.918Z
MER-90,Define Pomodoro domain states and transition logic,Done,,,Mert Ertuğrul,2026-03-03T17:19:33.653Z,2026-03-03T18:24:36.677Z
MER-91,Update OpenAPI contract for Pomodoro lifecycle and advance action,Done,,,Mert Ertuğrul,2026-03-03T17:19:41.151Z,2026-03-03T18:24:36.559Z
MER-92,Implement advance endpoint in FocusSession controller and service,Done,,,Mert Ertuğrul,2026-03-03T17:19:51.281Z,2026-03-03T18:24:37.361Z
MER-93,Add exhaustive transition tests (unit + BDD component),Done,,,Mert Ertuğrul,2026-03-03T17:20:00.878Z,2026-03-03T18:24:37.300Z
MER-94,Add persistence and concurrency guardrails for advance transitions,Done,,,Mert Ertuğrul,2026-03-03T17:20:14.439Z,2026-03-03T18:24:37.422Z
MER-95,M2-06a Refine OpenAPI FocusSessionResponse with linked slice taskName,Done,,,Mert Ertuğrul,2026-03-03T18:30:56.409Z,2026-03-04T08:32:34.026Z
MER-96,M2-06b Populate taskName in FocusSessionService.toResponse(),Done,,,Mert Ertuğrul,2026-03-03T18:30:58.575Z,2026-03-04T08:32:33.972Z
MER-97,M2-06c Enforce startSession time-relevance policy,Done,,,Mert Ertuğrul,2026-03-03T18:31:00.074Z,2026-03-04T08:32:33.903Z
MER-98,M2-06d Handle concurrent start conflicts with explicit API error contract,Done,,,Mert Ertuğrul,2026-03-03T18:31:01.886Z,2026-03-04T08:32:33.996Z
MER-99,M2-06e Add integration/component coverage for slice linking + busy-state,Done,,,Mert Ertuğrul,2026-03-03T18:31:04.246Z,2026-03-04T08:32:34.056Z
MER-100,M2-06f Update system design docs for Slice ↔ FocusSession lifecycle,Done,,,Mert Ertuğrul,2026-03-03T18:31:06.703Z,2026-03-04T08:32:33.938Z
MER-101,MER-82.3 Backend guardrail — overlap validation,Done,,,Mert Ertuğrul,2026-03-04T08:44:57.617Z,2026-03-04T13:05:40.569Z
MER-102,MER-82.1 Frontend interaction handlers + context menu (Flutter),Done,,,Mert Ertuğrul,2026-03-04T08:45:05.909Z,2026-03-04T13:05:27.711Z
MER-103,MER-82.2 Frontend add/remove action flows (Flutter),Done,,,Mert Ertuğrul,2026-03-04T08:45:20.125Z,2026-03-04T13:05:40.678Z
MER-104,MER-86 alignment — prevent persisting unplanned remainder,Done,,,Mert Ertuğrul,2026-03-04T08:45:27.865Z,2026-03-04T13:05:40.920Z
MER-105,MER-82.5 Remove-flow integrity test (cascade + component test),Done,,,Mert Ertuğrul,2026-03-04T08:45:35.197Z,2026-03-04T13:05:40.532Z
MER-106,MER-82.4 Backend hardening — optimistic locking (`@Version`),Done,,,Mert Ertuğrul,2026-03-04T08:45:44.925Z,2026-03-04T13:05:40.840Z
MER-107,MER-85.1 FE UI/header/nav for selected date,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-04T13:25:38.568Z,2026-03-04T17:01:26.168Z
MER-108,MER-85.2 FE selectedDate state and date-scoped fetch wiring,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-04T13:25:57.974Z,2026-03-04T17:01:26.116Z
MER-109,MER-85.3 FE keep create/edit/remove interactions date-scoped,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-04T13:26:00.054Z,2026-03-04T17:01:26.199Z
MER-110,MER-85.4 FE empty-day normalization to single Unplanned fallback,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-04T13:26:01.929Z,2026-03-04T17:01:26.243Z
MER-111,"MER-85.5 FE tests for date rendering, navigation, and empty-day behavior",Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-04T13:26:03.873Z,2026-03-04T17:01:26.280Z
MER-112,MER-60.1 Timer Panel UI (Countdown + Phase + Status),Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-04T18:10:20.055Z,2026-03-04T19:46:43.706Z
MER-113,MER-60.2 Session Controls (Start/Pause/Resume/Stop),Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-04T18:10:22.135Z,2026-03-04T19:43:08.811Z
MER-114,MER-60.3 Backend Integration & Server-Time Sync,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-04T18:10:24.177Z,2026-03-04T19:46:56.220Z
MER-115,MER-60.4 Test Coverage & Acceptance Validation,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-04T18:10:26.498Z,2026-03-04T19:46:59.834Z
MER-116,M2-09 Add BE pause/resume endpoints for focus session lifecycle,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-04T18:24:24.819Z,2026-03-04T19:22:35.579Z
MER-117,Compute remaining time from server timestamps,Done,"{'value': 3, 'name': 'Medium'}",featureFE,,2026-03-04T19:50:14.853Z,2026-03-05T07:51:32.561Z
MER-118,Restore active session on app reload/reopen,Done,"{'value': 3, 'name': 'Medium'}",featureFE,,2026-03-04T19:50:17.886Z,2026-03-05T07:51:32.586Z
MER-119,Define and implement drift correction strategy,Done,"{'value': 3, 'name': 'Medium'}",featureFE,,2026-03-04T19:50:21.864Z,2026-03-05T07:51:32.663Z
MER-120,Handle offline/error fallback without corrupting session state,Done,"{'value': 3, 'name': 'Medium'}",featureFE,,2026-03-04T19:50:25.593Z,2026-03-05T07:51:32.616Z
MER-121,"Write tests for session sync, drift correction, and error handling",Done,"{'value': 3, 'name': 'Medium'}",featureFE,,2026-03-04T19:50:29.572Z,2026-03-05T07:51:32.643Z
MER-122,Add phaseStartedAt timestamp to focus session API response,Done,"{'value': 2, 'name': 'High'}",,Mert Ertuğrul,2026-03-04T20:02:40.220Z,2026-03-04T20:25:41.714Z
MER-123,Offline resilience: queue focus session actions when network is unavailable,Done,"{'value': 3, 'name': 'Medium'}",featureFE; Feature (Frontent),Mert Ertuğrul,2026-03-05T07:52:06.514Z,2026-03-09T10:19:12.065Z
MER-124,Highlight active focus slice on radial canvas,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-05T08:07:53.714Z,2026-03-05T12:50:34.332Z
MER-125,Add active slice indicator to legend,Done,"{'value': 4, 'name': 'Low'}",featureFE,Mert Ertuğrul,2026-03-05T08:07:56.674Z,2026-03-05T12:53:54.162Z
MER-126,Add widget tests for Start Focus flow and active slice indicator,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-05T08:07:59.691Z,2026-03-05T12:53:54.187Z
MER-127,"Refactor focus timer to run locally, persist only completed sessions",Done,"{'value': 2, 'name': 'High'}",,Mert Ertuğrul,2026-03-05T12:49:21.761Z,2026-03-05T14:40:51.139Z
MER-128,MER-127.1 Add POST /complete endpoint for finished focus sessions,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-05T13:03:36.791Z,2026-03-05T13:49:11.904Z
MER-129,MER-127.2 Build local FocusTimerController with pomodoro state machine,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-05T13:03:43.267Z,2026-03-05T13:52:01.693Z
MER-130,MER-127.3 Wire TimerPanel to local controller and POST /complete on finish,Done,"{'value': 2, 'name': 'High'}",featureFE,Mert Ertuğrul,2026-03-05T13:03:48.926Z,2026-03-05T14:36:15.606Z
MER-131,MER-127.4 Remove deprecated BE real-time session endpoints,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-05T13:03:54.780Z,2026-03-05T14:23:32.570Z
MER-132,Extract `containsMinute` to DaySlice model,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-05T14:47:36.008Z,2026-03-05T15:11:26.680Z
MER-133,Add slice-end wall-clock watcher in HomePage,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-05T14:47:40.724Z,2026-03-05T17:23:52.969Z
MER-134,Add deduplication guard for slice-end transition,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-05T14:47:43.722Z,2026-03-05T17:46:11.722Z
MER-135,Auto-stop focus session on slice-end,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-05T14:47:47.295Z,2026-03-05T17:58:48.568Z
MER-136,Show in-app transition notice on slice-end auto-stop,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-05T14:47:50.688Z,2026-03-05T17:59:01.313Z
MER-137,Add tests for slice-end behavior,Done,"{'value': 3, 'name': 'Medium'}",featureFE,Mert Ertuğrul,2026-03-05T14:47:54.378Z,2026-03-05T18:04:15.454Z
MER-138,Add cancel/force-stop endpoint for active focus sessions,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-05T16:41:04.384Z,2026-03-05T17:11:26.479Z
MER-139,M2-12a FE widget test: 409 conflict recovery flow,Done,,featureFE,Mert Ertuğrul,2026-03-05T18:18:33.119Z,2026-03-05T18:23:06.530Z
MER-140,M2-12b FE widget test: full Start Focus integration & session completion,Done,,featureFE,Mert Ertuğrul,2026-03-05T18:18:36.501Z,2026-03-05T18:26:34.578Z
MER-141,M2-12c FE widget test: pause/resume server sync guard,Done,,featureFE,Mert Ertuğrul,2026-03-05T18:18:39.782Z,2026-03-05T18:58:04.133Z
MER-142,M2-12d Update docs with M2 session API contract & exit checklist,Done,,Task,Mert Ertuğrul,2026-03-05T18:18:42.563Z,2026-03-05T19:03:42.429Z
MER-143,M2-12e BE test coverage: slice/session/state-machine behavior,Done,"{'value': 3, 'name': 'Medium'}",Task,Mert Ertuğrul,2026-03-05T19:06:15.056Z,2026-03-05T19:18:40.896Z
MER-144,M3-01 Add Spring WebSocket support with STOMP broker,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-06T09:32:29.224Z,2026-03-07T18:56:30.913Z
MER-145,M3-02 Define WebSocket topic schema and session event messages,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-06T09:32:36.072Z,2026-03-07T19:23:56.014Z
MER-146,M3-03 Broadcast session lifecycle events over WebSocket,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-06T09:32:40.160Z,2026-03-07T19:44:35.699Z
MER-147,M3-04 Authenticate WebSocket connections,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-06T09:32:46.050Z,2026-03-07T20:08:05.078Z
MER-148,M3-05 Add device token registration endpoint + schema,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-06T09:32:58.102Z,2026-03-08T08:29:59.131Z
MER-149,M3-06 Integrate Firebase Admin SDK for push notifications,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-06T09:33:04.139Z,2026-03-08T08:56:12.937Z
MER-150,M3-07 Trigger push notifications on session phase transitions,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-06T09:33:13.302Z,2026-03-08T09:31:17.803Z
MER-151,M3-08 Add session history endpoint (GET /api/focus-sessions),Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-06T09:33:17.333Z,2026-03-08T10:16:40.384Z
MER-152,M3-09 Add session stats/analytics endpoint,Done,"{'value': 3, 'name': 'Medium'}",Feature,Mert Ertuğrul,2026-03-06T09:33:30.896Z,2026-03-08T10:44:53.493Z
MER-153,M3-10 Authentication hardening — Google + Apple OIDC validation,Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-06T09:33:40.727Z,2026-03-07T17:33:25.221Z
MER-154,M3-11 Schema audit + analytics indexes,Done,"{'value': 3, 'name': 'Medium'}",Improvement,Mert Ertuğrul,2026-03-06T09:33:47.941Z,2026-03-08T11:06:22.541Z
MER-155,"M3-12 Milestone quality gate: tests, docs update",Done,"{'value': 2, 'name': 'High'}",Feature,Mert Ertuğrul,2026-03-06T09:33:55.552Z,2026-03-13T20:27:52.244Z
